source_id,JkcStd_mag_U,JkcStd_mag_B,JkcStd_mag_V,JkcStd_mag_R,JkcStd_mag_I,JkcStd_flux_U,JkcStd_flux_B,JkcStd_flux_V,JkcStd_flux_R,JkcStd_flux_I,JkcStd_flux_error_U,JkcStd_flux_error_B,JkcStd_flux_error_V,JkcStd_flux_error_R,JkcStd_flux_error_I
2428045690758356224,17.24412236704879,16.704751210554033,15.810206634919009,15.295555879982462,14.84092499137007,5.7914998999943654e-18,1.3480298708108917e-17,1.743722397845932e-17,1.702384466961339e-17,1.365054539159057e-17,4.590905603591755e-19,1.085611094939605e-19,7.226211902395474e-20,5.221545151182398e-20,3.4093532031614954e-20
2428044969203834624,18.712896632770686,17.453119704144267,16.148237940498124,15.470188239056359,14.833462110492281,1.4972052692319997e-18,6.7663135387821065e-18,1.2772173921783713e-17,1.4494548920306558e-17,1.3744696540517392e-17,2.1501098648441637e-19,7.795082618921998e-20,5.897927480058926e-20,4.3179415812428795e-20,3.07497826021684e-20
2428041773748173568,17.138315941428054,16.720688799736468,15.939599814325991,15.513574824970977,15.132701130782625,6.384304953892651e-18,1.3283865818615228e-17,1.5478186464599894e-17,1.3926759312295135e-17,1.0433728886668389e-17,4.2248130529313475e-19,9.476168437309498e-20,6.736468133158991e-20,4.5861454023896775e-20,2.828698814989825e-20
2425038457736568320,17.34272686692674,16.884659461442727,16.111884541262132,15.647194711483703,15.19832211852469,5.288703905899441e-18,1.1421843767640804e-17,1.3207060992573604e-17,1.2314084102631683e-17,9.821801496808054e-18,3.2496677533664906e-19,9.135831233262993e-20,6.028460091537963e-20,4.1351890374567343e-20,2.650062004183363e-20
2425044573769997312,16.461176777183464,16.59905786393278,16.047614474702105,15.71495643278767,15.36645249273035,1.191157773042755e-17,1.485856451974855e-17,1.4012454329524665e-17,1.1569042776658113e-17,8.412769751587881e-18,3.5909081366542666e-19,1.0556515783705529e-19,6.772525920226458e-20,4.496262524780535e-20,2.6503902127089527e-20
2428042392223474176,17.721432527754597,17.19093397953198,16.256062341776765,15.682940279916277,15.169740037914128,3.731358602050137e-18,8.614427260122985e-18,1.156471842905207e-17,1.1915270003490273e-17,1.0083794461185069e-17,2.7899640380107963e-19,7.904587922594623e-20,5.817146294628426e-20,4.162724287691337e-20,2.710459639757991e-20
2428042426583212416,16.84676902188928,16.86200574314989,16.255635303464334,15.882631246340782,15.505203509472796,8.350882849968637e-18,1.1662662359411634e-17,1.1569267921976998e-17,9.913511197349245e-18,7.403525834870807e-18,3.3856439203045864e-19,9.045210919441027e-20,5.896873574890293e-20,3.9772210245334564e-20,2.500239657896054e-20
2428045037923310720,17.052355448805297,17.062767169113148,16.42259097043569,16.050353276055066,15.683831754996387,6.910314614305597e-18,9.693779400784254e-18,9.920272725477308e-18,8.494516995017798e-18,6.28039989987468e-18,2.8099982455136607e-19,8.411211007215295e-20,5.706819096424346e-20,3.824135356317599e-20,2.450409120505617e-20
2425038114139179520,16.819235661897928,16.897981136938622,16.46435633067333,16.17303180720491,15.870132243221537,8.565362253571156e-18,1.1282557232538647e-17,9.545912907161893e-18,7.586950963616622e-18,5.290139235185786e-18,3.480542498559868e-19,8.703162978866332e-20,5.031724725943471e-20,3.366279085199928e-20,2.0267212474756813e-20
2428045209722002176,17.71987237109642,17.409821147627103,16.609019351504802,16.12526311584909,15.652275035874158,3.736724259538789e-18,7.04160307626541e-18,8.355111681152819e-18,7.92820285432746e-18,6.4656171587456985e-18,2.9507505318586683e-19,7.425862037005997e-20,5.0054644263146976e-20,3.391053154978613e-20,2.1459310228225666e-20
2425043439898632576,20.170675011178087,19.25008000885786,17.723567705313247,16.539714090976933,15.013557595608479,3.9099391226560493e-19,1.2929091126736792e-18,2.9931805734706177e-18,5.412455810386246e-18,1.1643859643413511e-17,1.9903780733779373e-19,6.337263826465476e-20,3.3527784021959885e-20,2.5590172582952645e-20,3.036641316089804e-20
2425043469963169280,19.093475654096697,18.4306991555914,17.040408293526628,16.172382418814994,15.363563303319925,1.0545076588734423e-18,2.749921761150988e-18,5.6156066879239466e-18,7.591490143158906e-18,8.435186295893202e-18,2.0050517947625201e-19,5.996093789748905e-20,4.3813621835830005e-20,3.620352462180169e-20,2.526603689025085e-20
2428045141002532480,16.818956607418944,16.920748162474094,16.681555449402513,16.526565515037863,16.32449971955607,8.567563994546697e-18,1.1048434237331316e-17,7.815159036707752e-18,5.4784006978813444e-18,3.481128959674262e-18,4.130962708054861e-19,1.0039093893978848e-19,5.793179046053111e-20,3.6260323733138004e-20,1.839905708742296e-20
2428043732253252864,18.676419618704315,17.759640237123303,16.886524626292587,16.3815640666021,15.923086072701043,1.5483607458353584e-18,5.10204054033533e-18,6.47068337709374e-18,6.261153819646475e-18,5.0383179516321115e-18,3.1331841268058593e-19,6.861114323363413e-20,4.53353296159782e-20,3.122067353227006e-20,1.9275432625238712e-20
2428040571157342720,17.27361019920151,17.559814690843286,16.989406963228202,16.61119281085136,16.227143366023316,5.6363236114479e-18,6.13301636678483e-18,5.885687705396969e-18,5.067606396567157e-18,3.807699382783916e-18,3.236893077834756e-19,6.728346698618925e-20,4.287801006041765e-20,2.970865510244749e-20,1.8991928316401285e-20
2425044741273502208,18.879067388938786,18.37805653073399,17.41189373198004,16.796657683277562,16.259276200603264,1.2847334873748484e-18,2.886538721402918e-18,3.988434894496937e-18,4.271859167835103e-18,3.696660098295848e-18,2.454243925117531e-19,4.919388703232141e-20,3.4220690914197994e-20,2.5456994454334342e-20,1.9612856871789792e-20
2428045033627467008,18.036317555543693,18.067550972044405,17.42437021398364,17.031086768207143,16.656352821330916,2.7919843383604027e-18,3.842196846186261e-18,3.942865062775651e-18,3.442272859755833e-18,2.5643592767792796e-18,2.3448744868521843e-19,5.616120609059087e-20,3.4231907987769674e-20,2.3257200810462784e-20,1.6035381287435044e-20
2428041769452309504,18.393617671998946,18.269253585529764,17.522606303325734,17.081077000652225,16.641725602175445,2.0090601118505072e-18,3.1907925236768964e-18,3.601782458814901e-18,3.2873746340424096e-18,2.5991405157270855e-18,3.05180525451511e-19,5.377508473015683e-20,3.535963920762223e-20,2.4488408869863496e-20,1.7046872904096495e-20
2425040450601395584,17.916652244939332,18.18150399893541,17.653778507438037,17.295686746281522,16.915372081208506,3.117303606744646e-18,3.459381036799028e-18,3.191895004290409e-18,2.697772364290657e-18,2.0200920873153672e-18,3.0076670580853977e-19,5.444025635357999e-20,3.7495873395209746e-20,2.389069425260796e-20,1.4846564757540235e-20
2425043405539149056,18.074984174019903,18.359404543722977,17.709304549573336,17.340986069194262,16.967365576038144,2.6943023530189446e-18,2.936555291886037e-18,3.0327609550026174e-18,2.587531064029963e-18,1.9256341069456106e-18,3.2359004622571305e-19,5.472156315181431e-20,3.2955364991720183e-20,2.2445143537347823e-20,1.5800943169247525e-20
2428042216128920192,22.45885526674215,20.507975466664792,18.899231095820358,17.678900683450916,16.11815728210981,4.7522348331934007e-20,4.058913660945355e-19,1.0136022400716967e-18,1.895482270657292e-18,4.209757575760029e-18,8.311635757643812e-20,4.0276212610554006e-20,2.1399554254899988e-20,1.7378031877840884e-20,2.233192073556332e-20
2428042186065044608,18.586120489845193,18.37972744350977,17.74388260051835,17.381199508806045,17.003397978941,1.6826423062063106e-18,2.882099848525362e-18,2.9376967296868234e-18,2.493447316148978e-18,1.862776748789739e-18,2.7780753642030604e-19,4.8777700994097934e-20,3.0962016405594706e-20,2.1041355897785765e-20,1.452180482734352e-20
2428047236946585088,21.67372015071846,19.93552894810364,18.393537805811615,17.41540722435536,16.435699894433906,9.793815982024559e-20,6.876832095602354e-19,1.6148971856604448e-18,2.4161122665858675e-18,3.1422449882645363e-18,4.787922703730306e-19,4.290694404263042e-20,2.4212158259545038e-20,1.87915780122763e-20,1.751723487104622e-20
